2021-02-19 19:07:43 INFO  - Task1 DB
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@4066c471 KS-4578 Verify that Placement can be edited in the Settings tab 221
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@4066c471 KS-6010 Verify AND search for Available suppliers grid 7365
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@4066c471 KS-5694 Sellers: Position Setup: add and edit position with Interstitial type 713
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@4066c471 KS-5399 Impersonate PSS Campaign Status verify that incomplete campaign can be changed to running 615
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@2b175c00 KS-4787 PSS Verify that positions and sites can be selected for new Campaign Position 467
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@2b175c00 KS-5359 PSS Campaign Targeting verify that Block specific devices can be saved 565
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@2b175c00 KS-5294 PSS Campaign Direct Campaign data in all sections can be saved by Next Back buttons 0
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@2b175c00 KS-6265 Verify that Seller admin can be created 792
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@2b175c00 KS-5430 PSS Campaign Creatives verify that creative and 3rd party tag can be deleted 0
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@2b175c00 KS-5409 PSS Campagin Status verify that running campaign can be edited 0
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@2b175c00 KS-5841 Verify that MM Network Ad Source can be created 523
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-405 Verify that Reports tabs can be added 0
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6408 PSS Campaign verify that campaign can be created 317
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-4615 Verify that Nexage admin can be created 276
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-3722 Ad Server New campaign verify that general section can be filled in 685
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-4797 Settings Verify that Publisher Block Group can be created 353
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-4440 PSS Verify that Gross Floor is not displayed for external user 227
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5653 Verify that Medium Rectangle placement can be added from Applications and Sites grid 223
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5699 Sellers: Position Setup: add and edit position with Medium Rectangle type 610
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5641 Impersonate PSS Verify that Rich Media Allowed and Allowed Ad Formats are not displayed for external user 388
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-414 Verify that date ranges can be set for reports 107
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-1824 Verify that Traffic Filters can be saved 1404
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6013 PSS Mediation Ad Source verify different Reporting Settings parameters are shown as configured for Adnet 1383
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-4159 Ad Server Custom Targeting verify that custom targeting group can be added 596
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-3296 Verify drilldown views links in Supply List grid 213
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6268 Verify that Buyer admin can be created 430
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5797 Verify that InStream Video placement can be edited from Applications and Sites grid Custom Video settings 521
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6059 Verify that Internal Manager can be edited 472
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6110 PSS: Users: Verify that sites can be edited for users 1165
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6983 PSS Direct Ad Source Verify that it's not possible to copy tag 1267
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5156 Reports Verify that search can be performed in the type report and company dropdown 107
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6280 Verify that Buyer user can be deleted 548
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6062 Verify that Internal User can be deleted 287
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-4359 PSS verify that Publisher Bidder Group can be created by Sellers admin and manager 5383
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5652 Verify that Native placement can be added from Applications and Sites grid 825
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-6123 Impersonate PSS Default Reporting Settings verify all fields are prefilled with values saved on Ad source 263
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-3483 PSS Date selection tool is displayed correctly 682
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-3285 Verify behavior of Add selected button in Supply List grid 15768
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-2395 AVM Verify that filter can be selected for AVP 5800
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5765 Change dimension filters for Seller Revenue report 5280
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5376 PSS Campaign Targeting verify that Android specific devices can be edited 666
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-4651 Verify that Geo Targeting can be edited from Block to Allow for Mediation Ad Source 4823
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-3318 Deals Supply List verify that buyer can be edited and deleted 4820
2021-02-19 19:07:45 INFO  - by.a1qa.models.Project@3eb81efb KS-5426 PSS Campaign Creatives verify that 3rd party tag can be edited 0
